Origin_Country,Destination_Country,Carrier_Name,Incoterm,Route,Gross_Weight_KG,Gross_Volume_M3,Number_of_Pieces,Requested_Lead_Time_Days,Month,Pickup_DayOfWeek,Delivery_DayOfWeek,Pickup_IsWeekend,Delivery_IsWeekend,Business_Unit_ADS,Service_Type_RTN,Hazardous_Y,Carrier_Delay_Rate,Carrier_Volume,Route_Delay_Rate,Route_Volume,Weight_Per_Piece,Is_Rush,Carrier_Route_Encoded,Route_Month_Encoded
8,4,1,0,38,4727.83,3.3712,12,5,12,2,1,0,0,True,True,False,0.29347368421052633,2375,0.26851098454027666,2458,393.98583333333335,0,153,373
8,5,2,2,39,839.6,0.4187,7,4,10,2,0,0,0,False,True,False,0.2719298245614035,456,0.26510944135903297,6122,119.94285714285715,0,187,383
8,5,11,2,39,4110.65,2.8525,12,5,5,6,5,1,1,False,True,False,0.22524436889077773,2353,0.26510944135903297,6122,342.5541666666666,0,114,389
2,4,1,3,5,3963.45,2.3513,24,2,2,4,0,0,0,True,True,True,0.29347368421052633,2375,0.2680851063829787,2820,165.14374999999998,1,157,434
8,2,4,3,37,3127.0,1.0312,6,5,4,4,2,0,0,False,False,False,0.12867729620480575,4453,0.26897470039946736,1502,521.1666666666666,0,266,364
8,5,3,3,39,6096.09,3.4487,15,6,4,4,4,0,0,True,True,False,0.491083079599826,2299,0.26510944135903297,6122,406.406,0,227,388
0,4,1,2,0,1287.78,0.8357,4,4,11,4,2,0,0,False,True,False,0.29347368421052633,2375,0.2847222222222222,432,321.945,0,122,2
8,4,6,0,38,2722.0,1.8624,11,6,8,4,4,0,0,False,True,False,0.15355367066393683,3419,0.26851098454027666,2458,247.45454545454547,0,347,380
1,5,8,1,4,1629.79,1.0004,5,5,1,6,6,1,1,False,True,False,0.257201646090535,2916,0.27880434782608693,1840,325.95799999999997,0,430,418
8,4,1,2,38,1121.08,0.4928,8,3,9,2,5,0,1,False,False,False,0.29347368421052633,2375,0.26851098454027666,2458,140.135,1,153,381
1,5,6,1,4,4870.24,3.3928,17,9,12,1,4,0,0,True,True,True,0.15355367066393683,3419,0.27880434782608693,1840,286.48470588235296,0,349,421
5,2,10,3,30,3950.58,1.687,11,4,12,3,0,0,0,True,False,True,0.19724375538329025,2322,0.2756024096385542,664,359.14363636363635,0,64,277
4,4,10,3,23,1755.19,0.6916,4,1,3,4,5,0,1,False,False,False,0.19724375538329025,2322,0.2726831635128578,2061,438.7975,1,56,185
2,5,10,1,6,3994.79,2.4175,12,3,11,0,2,0,0,True,True,True,0.19724375538329025,2322,0.26096491228070173,912,332.89916666666664,1,77,444
8,5,4,3,39,2363.72,1.761,25,4,11,4,2,0,0,False,True,False,0.12867729620480575,4453,0.26510944135903297,6122,94.54879999999999,0,268,384
0,5,6,2,1,1769.95,1.2641,7,6,12,0,0,0,0,False,True,False,0.15355367066393683,3419,0.2759295499021526,511,252.85,0,316,135
1,5,11,0,4,1035.83,0.312,3,4,1,2,6,0,1,False,False,False,0.22524436889077773,2353,0.27880434782608693,1840,345.27666666666664,0,115,418
4,6,4,2,24,650.02,0.3273,8,4,12,0,3,0,0,False,True,False,0.12867729620480575,4453,0.25328330206378985,533,81.2525,0,252,195
4,4,8,2,23,5043.61,2.3351,10,2,1,3,5,0,1,True,True,False,0.257201646090535,2916,0.2726831635128578,2061,504.361,1,412,180
4,4,6,1,23,10391.54,6.082,11,2,11,5,1,1,0,True,True,True,0.15355367066393683,3419,0.2726831635128578,2061,944.6854545454546,1,331,182
8,2,4,0,37,899.03,0.3358,2,5,6,3,2,0,0,False,True,False,0.12867729620480575,4453,0.26897470039946736,1502,449.515,0,266,366
8,5,4,0,39,361.22,0.1298,2,4,6,4,2,0,0,False,True,False,0.12867729620480575,4453,0.26510944135903297,6122,180.61,0,268,390
0,5,0,2,1,1258.61,0.481,2,5,5,6,6,1,1,False,True,True,0.27633417155630063,3579,0.2759295499021526,511,629.305,0,1,139
4,2,4,1,22,3589.04,2.6278,25,4,12,0,4,0,0,False,False,False,0.12867729620480575,4453,0.2723673792557403,1263,143.5616,0,250,171
8,5,3,3,39,3563.74,2.4859,25,5,5,2,1,0,0,True,True,False,0.491083079599826,2299,0.26510944135903297,6122,142.5496,0,227,389
8,5,0,3,39,1073.99,0.8099,8,5,11,3,2,0,0,False,True,False,0.27633417155630063,3579,0.26510944135903297,6122,134.24875,0,32,384
6,4,8,1,33,4209.38,1.3905,24,6,1,4,6,0,1,True,True,False,0.257201646090535,2916,0.27261146496815286,785,175.39083333333335,0,423,310
6,4,0,0,33,7481.05,3.619,24,8,8,0,2,0,0,True,True,False,0.27633417155630063,3579,0.27261146496815286,785,311.7104166666667,0,26,320
8,5,6,0,39,1269.23,0.396,2,5,12,5,5,1,1,False,True,False,0.15355367066393683,3419,0.26510944135903297,6122,634.615,0,348,385
8,2,4,0,37,1382.15,0.7703,5,5,2,3,2,0,0,False,True,False,0.12867729620480575,4453,0.26897470039946736,1502,276.43,0,266,362
2,4,11,2,5,6565.54,2.4097,24,3,5,2,5,0,1,True,True,False,0.22524436889077773,2353,0.2680851063829787,2820,273.56416666666667,1,117,437
4,2,1,1,22,1111.69,0.8021,8,3,4,6,2,1,0,False,True,False,0.29347368421052633,2375,0.2723673792557403,1263,138.96125,1,137,174
2,6,6,3,7,1058.25,0.8391,8,2,4,3,5,0,1,False,True,False,0.15355367066393683,3419,0.3,190,132.28125,1,353,460
4,6,10,2,24,11062.39,5.901,13,1,4,4,6,0,1,True,True,False,0.19724375538329025,2322,0.25328330206378985,533,850.9530769230769,1,57,198
2,4,8,1,5,4537.69,2.734,22,4,2,0,3,0,0,False,True,False,0.257201646090535,2916,0.2680851063829787,2820,206.25863636363636,0,432,434
1,5,11,3,4,1361.62,0.6631,5,7,7,1,2,0,0,False,True,False,0.22524436889077773,2353,0.27880434782608693,1840,272.32399999999996,0,115,427
8,5,4,1,39,816.6,0.3051,8,5,9,6,5,1,1,False,True,False,0.12867729620480575,4453,0.26510944135903297,6122,102.075,0,268,393
4,4,5,1,23,3026.34,1.5563,9,2,5,5,1,1,0,False,True,False,0.2894486692015209,2104,0.2726831635128578,2061,336.26,1,292,187
5,4,8,1,31,2920.95,1.6809,20,3,6,0,2,0,0,False,True,False,0.257201646090535,2916,0.27392120075046905,1066,146.04749999999999,1,421,294
8,5,5,1,39,694.54,0.3588,5,5,9,5,4,1,0,False,True,False,0.2894486692015209,2104,0.26510944135903297,6122,138.908,0,308,393
0,4,7,1,0,1634.59,0.9948,5,5,10,6,4,1,0,False,True,False,0.45885916203937405,1981,0.2847222222222222,432,326.918,0,356,1
2,4,6,0,5,685.91,0.2493,6,1,3,5,0,1,0,False,True,False,0.15355367066393683,3419,0.2680851063829787,2820,114.31833333333333,1,351,435
8,5,7,3,39,2859.98,1.5876,18,5,4,6,5,1,1,True,True,False,0.45885916203937405,1981,0.26510944135903297,6122,158.88777777777779,0,388,388
1,5,6,0,4,558.43,0.2703,5,7,7,2,3,0,0,False,True,False,0.15355367066393683,3419,0.27880434782608693,1840,111.68599999999999,0,349,427
8,4,4,2,38,4971.52,1.7994,23,5,8,0,6,0,1,True,True,False,0.12867729620480575,4453,0.26851098454027666,2458,216.15304347826088,0,267,380
8,5,11,1,39,1024.19,0.6106,2,4,10,3,0,0,0,False,False,False,0.22524436889077773,2353,0.26510944135903297,6122,512.095,0,114,383
8,4,4,3,38,4865.38,3.7069,18,5,9,6,5,1,1,True,True,False,0.12867729620480575,4453,0.26851098454027666,2458,270.2988888888889,0,267,381
1,5,8,1,4,1238.53,0.4287,8,9,12,1,4,0,0,True,True,False,0.257201646090535,2916,0.27880434782608693,1840,154.81625,0,430,421
8,5,3,3,39,1152.33,0.4572,7,5,9,4,3,0,0,False,True,False,0.491083079599826,2299,0.26510944135903297,6122,164.6185714285714,0,227,393
8,5,5,2,39,772.95,0.3649,3,4,11,1,5,0,1,False,False,False,0.2894486692015209,2104,0.26510944135903297,6122,257.65000000000003,0,308,384
2,8,6,2,9,1514.09,0.5144,4,7,4,2,3,0,0,False,True,False,0.15355367066393683,3419,0.15789473684210525,19,378.5225,0,355,484
1,4,7,2,3,683.07,0.3665,4,3,12,3,6,0,1,False,False,False,0.45885916203937405,1981,0.27113095238095236,3360,170.7675,1,378,397
2,4,11,2,5,4150.7,1.7305,9,2,11,3,6,0,1,False,True,False,0.22524436889077773,2353,0.2680851063829787,2820,461.18888888888887,1,117,432
4,4,5,3,23,1334.09,0.4338,6,4,4,6,3,1,0,False,False,False,0.2894486692015209,2104,0.2726831635128578,2061,222.34833333333333,0,292,186
1,5,6,3,4,383.04,0.2681,2,6,3,1,1,0,0,False,True,False,0.15355367066393683,3419,0.27880434782608693,1840,191.52,0,349,423
8,4,4,1,38,2422.88,1.7335,12,4,2,4,2,0,0,True,True,True,0.12867729620480575,4453,0.26851098454027666,2458,201.90666666666667,0,267,374
4,2,1,1,22,1690.17,0.9141,7,4,4,1,4,0,0,False,True,False,0.29347368421052633,2375,0.2723673792557403,1263,241.45285714285714,0,137,174
8,5,1,3,39,1111.84,0.3385,4,1,8,0,1,0,0,True,False,False,0.29347368421052633,2375,0.26510944135903297,6122,277.96,1,154,392
1,4,3,0,3,1119.49,0.6947,4,1,10,1,2,0,0,False,False,True,0.491083079599826,2299,0.27113095238095236,3360,279.8725,1,217,395
8,5,4,0,39,12982.85,4.6541,19,5,4,6,6,1,1,True,True,False,0.12867729620480575,4453,0.26510944135903297,6122,683.3078947368422,0,268,388
4,2,4,0,22,2072.95,1.5473,9,1,1,6,0,1,0,False,False,False,0.12867729620480575,4453,0.2723673792557403,1263,230.32777777777775,1,250,168
2,4,5,0,5,2087.62,0.7181,12,3,2,1,3,0,0,False,True,False,0.2894486692015209,2104,0.2680851063829787,2820,173.96833333333333,1,311,434
4,4,5,2,23,1571.9,0.7881,8,3,10,6,2,1,0,False,True,False,0.2894486692015209,2104,0.2726831635128578,2061,196.4875,1,292,181
8,4,7,1,38,1639.78,1.1031,2,5,8,6,5,1,1,False,True,False,0.45885916203937405,1981,0.26851098454027666,2458,819.89,0,387,380
8,5,1,3,39,2639.78,2.065,15,5,10,5,5,1,1,True,True,True,0.29347368421052633,2375,0.26510944135903297,6122,175.98533333333336,0,154,383
2,4,8,0,5,1182.96,0.9188,7,3,9,1,3,0,0,False,True,False,0.257201646090535,2916,0.2680851063829787,2820,168.99428571428572,1,432,441
5,4,6,1,31,3246.7,1.3604,14,3,2,6,2,1,0,True,True,False,0.15355367066393683,3419,0.27392120075046905,1066,231.90714285714284,1,340,290
6,4,9,2,33,1137.53,0.4387,3,8,1,6,2,1,0,False,True,False,0.5224839400428265,1401,0.27261146496815286,785,379.1766666666667,0,464,310
5,5,11,1,32,7948.64,4.9956,8,2,3,3,6,0,1,True,True,False,0.22524436889077773,2353,0.30666666666666664,75,993.58,1,107,303
8,4,9,2,38,1920.41,0.6809,2,4,4,1,6,0,1,False,True,False,0.5224839400428265,1401,0.26851098454027666,2458,960.205,0,469,376
8,5,10,1,39,1806.12,1.1571,8,5,12,3,2,0,0,False,True,False,0.19724375538329025,2322,0.26510944135903297,6122,225.765,0,73,385
1,4,9,1,3,1513.04,1.1157,3,7,1,2,3,0,0,False,True,False,0.5224839400428265,1401,0.27113095238095236,3360,504.34666666666664,0,460,394
1,4,10,1,3,852.46,0.636,7,7,12,6,1,1,0,False,True,False,0.19724375538329025,2322,0.27113095238095236,3360,121.78,0,63,397
5,2,1,1,30,3451.69,1.1307,20,2,9,3,6,0,1,True,True,False,0.29347368421052633,2375,0.2756024096385542,664,172.5845,1,145,285
2,4,1,0,5,4685.99,2.7999,21,3,1,2,5,0,1,True,True,False,0.29347368421052633,2375,0.2680851063829787,2820,223.14238095238093,1,157,430
5,4,5,3,31,788.49,0.3992,8,2,10,5,1,1,0,False,True,False,0.2894486692015209,2104,0.27392120075046905,1066,98.56125,1,300,287
4,4,10,2,23,563.42,0.4126,6,2,5,3,6,0,1,False,True,False,0.19724375538329025,2322,0.2726831635128578,2061,93.90333333333332,1,56,187
8,6,4,0,40,1459.64,0.9414,3,5,9,1,0,0,0,False,True,False,0.12867729620480575,4453,0.30601092896174864,366,486.5466666666667,0,270,417
8,5,1,2,39,2987.87,1.7799,19,5,1,3,2,0,0,True,True,False,0.29347368421052633,2375,0.26510944135903297,6122,157.2563157894737,0,154,382
4,2,11,2,22,1873.13,1.1468,5,3,8,2,5,0,1,True,True,False,0.22524436889077773,2353,0.2723673792557403,1263,374.62600000000003,1,96,178
8,5,10,0,39,1537.46,0.675,6,5,2,2,0,0,0,False,False,False,0.19724375538329025,2322,0.26510944135903297,6122,256.24333333333334,0,73,386
3,0,6,0,12,4172.3,1.6822,23,5,11,3,2,0,0,True,True,True,0.15355367066393683,3419,0.30275229357798167,218,181.40434782608696,0,319,38
1,5,5,2,4,5413.99,1.7791,8,8,4,6,2,1,0,True,True,False,0.2894486692015209,2104,0.27880434782608693,1840,676.74875,0,309,424
1,4,3,0,3,1251.11,0.5707,3,7,9,5,1,1,0,False,True,False,0.491083079599826,2299,0.27113095238095236,3360,417.03666666666663,0,217,405
4,1,10,2,21,2677.78,1.4681,11,6,8,0,0,0,0,True,True,True,0.19724375538329025,2322,0.18867924528301888,53,243.43454545454549,0,54,166
2,4,11,3,5,418.26,0.3021,2,2,11,6,1,1,0,False,True,False,0.22524436889077773,2353,0.2680851063829787,2820,209.13,1,117,432
1,5,4,1,4,1329.44,0.7013,8,3,9,5,1,1,0,False,False,False,0.12867729620480575,4453,0.27880434782608693,1840,166.18,1,269,429
8,5,9,1,39,5078.39,2.4834,6,1,10,0,1,0,0,True,False,False,0.5224839400428265,1401,0.26510944135903297,6122,846.3983333333334,1,470,383
4,2,5,0,22,4681.18,1.6998,6,3,2,0,2,0,0,True,True,False,0.2894486692015209,2104,0.2723673792557403,1263,780.1966666666667,1,291,172
5,4,0,3,31,4541.65,1.8659,10,1,4,0,1,0,0,True,False,False,0.27633417155630063,3579,0.27392120075046905,1066,454.16499999999996,1,24,292
4,14,6,0,28,2036.8,1.3259,20,6,12,4,4,0,0,True,True,False,0.15355367066393683,3419,0.2905982905982906,117,101.84,0,336,243
8,5,3,1,39,3152.65,1.9358,18,4,4,1,5,0,1,True,False,True,0.491083079599826,2299,0.26510944135903297,6122,175.14722222222224,0,227,388
4,4,4,2,23,314.56,0.2245,3,1,7,5,0,1,0,False,True,False,0.12867729620480575,4453,0.2726831635128578,2061,104.85333333333334,1,251,189
8,2,3,2,37,2672.23,1.7004,7,6,3,4,4,0,0,True,True,False,0.491083079599826,2299,0.26897470039946736,1502,381.7471428571429,0,225,363
3,2,6,3,14,1569.59,0.7992,2,4,10,0,3,0,0,True,True,True,0.15355367066393683,3419,0.2903225806451613,155,784.795,0,321,61
7,4,3,2,36,3157.01,0.9879,25,5,8,5,4,1,0,True,True,True,0.491083079599826,2299,0.22767857142857142,224,126.28040000000001,0,224,356
1,4,11,0,3,3094.8,1.2834,17,5,9,5,5,1,1,True,True,False,0.22524436889077773,2353,0.27113095238095236,3360,182.04705882352943,0,104,405
8,2,4,0,37,1639.06,0.5595,5,1,8,1,2,0,0,False,False,False,0.12867729620480575,4453,0.26897470039946736,1502,327.812,1,266,368
2,4,4,0,5,687.1,0.3571,7,18,9,3,0,0,0,False,False,False,0.12867729620480575,4453,0.2680851063829787,2820,98.15714285714286,0,271,441
5,4,6,0,31,2042.64,1.4634,11,4,2,0,3,0,0,True,True,False,0.15355367066393683,3419,0.27392120075046905,1066,185.69454545454548,0,340,290
8,5,8,3,39,1333.83,0.7222,4,6,12,4,4,0,0,False,True,False,0.257201646090535,2916,0.26510944135903297,6122,333.4575,0,429,385
4,6,8,0,24,406.38,0.3144,2,1,12,5,0,1,0,False,True,False,0.257201646090535,2916,0.25328330206378985,533,203.19,1,413,195
2,5,9,2,6,2899.49,1.5607,6,3,7,1,3,0,0,False,True,False,0.5224839400428265,1401,0.26096491228070173,912,483.2483333333333,1,474,451
1,4,8,0,3,3659.11,2.7151,9,6,12,0,0,0,0,True,True,True,0.257201646090535,2916,0.27113095238095236,3360,406.5677777777778,0,419,397
1,5,4,1,4,2236.8,1.5932,12,7,1,3,6,0,1,False,True,False,0.12867729620480575,4453,0.27880434782608693,1840,186.4,0,269,418
4,6,9,1,24,3488.17,2.5631,24,1,10,5,0,1,0,False,True,False,0.5224839400428265,1401,0.25328330206378985,533,145.34041666666667,1,454,193
8,4,4,1,38,8096.54,3.8168,9,5,6,6,6,1,1,True,True,False,0.12867729620480575,4453,0.26851098454027666,2458,899.6155555555556,0,267,378
